date,total_views,unique_views
2022-08-30,11,1
2022-08-31,14,4
2022-09-01,7,2
2022-09-02,0,0
2022-09-03,0,0
2022-09-04,5,1
2022-09-05,0,0
2022-09-06,0,0
2022-09-07,0,0
2022-09-08,22,1
2022-09-09,0,0
2022-09-10,0,0
2022-09-11,2,1
2022-09-12,0,0
2022-09-13,0,0
2022-09-14,0,0
2022-09-15,0,0
2022-09-16,0,0
2022-09-17,2,1
2022-09-18,8,2
2022-09-19,13,1
2022-09-20,0,0
2022-09-21,4,2
2022-09-22,16,2
2022-09-23,7,2
2022-09-24,4,2
2022-09-25,34,9
2022-09-26,23,5
2022-09-27,0,0
2022-09-28,0,0
2022-09-29,0,0
2022-09-30,0,0
2022-10-01,0,0
2022-10-02,0,0
2022-10-03,0,0
2022-10-04,0,0
2022-10-05,0,0
2022-10-06,0,0
2022-10-07,0,0
2022-10-08,0,0
2022-10-09,0,0
2022-10-10,0,0
2022-10-11,0,0
2022-10-12,2,1
2022-10-13,12,1
2022-10-14,0,0
2022-10-15,0,0
2022-10-16,0,0
2022-10-17,0,0
2022-10-18,0,0
2022-10-19,18,1
2022-10-20,0,0
2022-10-21,4,2
2022-10-22,3,1
2022-10-23,6,1
2022-10-24,13,2
2022-10-25,7,3
2022-10-26,8,2
2022-10-27,7,2
2022-10-28,4,1
2022-10-29,4,2
2022-10-30,42,8
2022-10-31,20,4
2022-11-01,3,1
2022-11-02,0,0
2022-11-03,0,0
2022-11-04,0,0
2022-11-05,0,0
2022-11-06,0,0
2022-11-07,0,0
2022-11-08,0,0
2022-11-09,6,2
2022-11-10,17,6
2022-11-11,22,7
2022-11-12,7,3
2022-11-13,0,0
2022-11-14,15,3
2022-11-15,3,1
2022-11-16,0,0
2022-11-17,0,0
2022-11-18,1,1
2022-11-19,0,0
2022-11-20,0,0
2022-11-21,8,2
2022-11-22,0,0
2022-11-23,0,0
2022-11-24,0,0
2022-11-25,10,2
2022-11-26,2,1
2022-11-27,7,2
2022-11-28,30,4
2022-11-29,22,4
2022-11-30,101,18
2022-12-01,47,8
2022-12-02,17,4
2022-12-03,7,3
2022-12-04,1,1
2022-12-05,0,0
2022-12-06,1,1
2022-12-07,0,0
2022-12-08,0,0
2022-12-09,0,0
2022-12-10,0,0
2022-12-11,0,0
2022-12-12,0,0
2022-12-13,0,0
2022-12-14,0,0
2022-12-15,0,0
2022-12-16,0,0
2022-12-17,0,0
2022-12-18,0,0
2022-12-19,0,0
2022-12-20,0,0
2022-12-21,0,0
2022-12-22,0,0
2022-12-23,0,0
2022-12-24,0,0
2022-12-25,0,0
2022-12-26,0,0
2022-12-27,0,0
2022-12-28,0,0
2022-12-29,0,0
2022-12-30,1,1
2022-12-31,0,0
2023-01-01,0,0
2023-01-02,0,0
2023-01-03,0,0
2023-01-04,0,0
2023-01-05,0,0
2023-01-06,3,1
2023-01-07,0,0
2023-01-08,0,0
2023-01-09,0,0
2023-01-10,0,0
2023-01-11,0,0
2023-01-12,13,1
2023-01-13,0,0
2023-01-14,0,0
2023-01-15,0,0
2023-01-16,0,0
2023-01-17,0,0
2023-01-18,1,1
2023-01-19,0,0
2023-01-20,0,0
2023-01-21,0,0
2023-01-22,4,1
2023-01-23,3,1
2023-01-24,0,0
2023-01-25,0,0
2023-01-26,2,1
2023-01-27,11,1
2023-01-28,5,1
2023-01-29,6,1
2023-01-30,22,3
2023-01-31,23,3
2023-02-01,33,5
2023-02-02,41,4
2023-02-03,38,9
2023-02-04,13,5
2023-02-05,11,2
2023-02-06,56,5
2023-02-07,1,1
2023-02-08,0,0
2023-02-09,0,0
2023-02-10,0,0
2023-02-11,0,0
2023-02-12,0,0
2023-02-13,0,0
2023-02-14,3,2
2023-02-15,0,0
2023-02-16,0,0
2023-02-17,13,2
2023-02-18,0,0
2023-02-19,3,2
2023-02-20,2,2
2023-02-21,1,1
2023-02-22,1,1
2023-02-23,47,1
2023-02-24,4,2
2023-02-25,1,1
2023-02-26,7,2
2023-02-27,15,4
2023-02-28,31,5
2023-03-01,0,0
